time,ticker,action,quantity,target_price,executed_price,commission,slippage_cost,total_cost,realized_pnl,cash_balance,holdings_value,portfolio_value,status,notes
2025-01-03,GOOG,sell,0.0,192.73,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-03,XOM,buy,0.0,108.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-03,TLT,buy,0.0,87.72,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-03,GOOGL,sell,0.0,191.37,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-03,BA,sell,0.0,171.4,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-03,AMD,buy,0.0,121.65,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-06,XOM,buy,0.0,108.24,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-06,TLT,buy,0.0,87.05,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-06,GOOGL,sell,0.0,193.98,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-06,GOOG,sell,0.0,195.15,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,REJECTED,Ticker not found
2025-01-06,AMZN,sell,388.0,226.78,226.643932,87.937845616,52.794383999997876,88025.78346161601,0.0,1087849.907770384,-88312.68000000001,999537.227770384,EXECUTED,
2025-01-06,AMD,buy,0.0,129.07,0.0,0.0,0.0,0.0,0.0,1087849.907770384,-88312.68000000001,999537.227770384,REJECTED,Ticker not found
2025-01-07,AMD,buy,0.0,130.51,0.0,0.0,0.0,0.0,0.0,1087849.907770384,-86178.68000000001,1001671.227770384,REJECTED,Ticker not found
2025-01-07,AMZN,sell,385.0,227.9,227.76326000000003,87.68885510000001,52.64489999999029,87776.54395510002,0.0,1175451.0740152842,-171691.03,1003760.0440152842,EXECUTED,
2025-01-07,TLT,buy,0.0,86.6,0.0,0.0,0.0,0.0,0.0,1175451.0740152842,-171691.03,1003760.0440152842,REJECTED,Ticker not found
2025-01-07,PG,buy,0.0,161.46,0.0,0.0,0.0,0.0,0.0,1175451.0740152842,-171691.03,1003760.0440152842,REJECTED,Ticker not found
2025-01-07,GOOG,sell,0.0,198.27,0.0,0.0,0.0,0.0,0.0,1175451.0740152842,-171691.03,1003760.0440152842,REJECTED,Ticker not found
2025-01-07,GOOGL,sell,0.0,197.11,0.0,0.0,0.0,0.0,0.0,1175451.0740152842,-171691.03,1003760.0440152842,REJECTED,Ticker not found
2025-01-08,GOOG,sell,0.0,193.95,0.0,0.0,0.0,0.0,0.0,1175451.0740152842,-171706.49,1003744.5840152842,REJECTED,Ticker not found
2025-01-08,PG,buy,0.0,160.99,0.0,0.0,0.0,0.0,0.0,1175451.0740152842,-171706.49,1003744.5840152842,REJECTED,Ticker not found
2025-01-08,CVX,buy,0.0,148.04,0.0,0.0,0.0,0.0,0.0,1175451.0740152842,-171706.49,1003744.5840152842,REJECTED,Ticker not found
